account_id,company_name,industry,employee_size,region,created_date,tier
ACC0069,"Orr, Ramsey and Anderson",Healthcare,51-200,North America,2025-08-15,SMB
ACC0070,"Mosley, Woodward and Savage",Retail & E-commerce,501-2000,LATAM,2026-03-20,Enterprise
ACC0071,Gonzalez-Gibson,Retail & E-commerce,51-200,LATAM,2024-05-29,SMB
ACC0072,Petersen-Pierce,Technology,501-2000,APAC,2025-12-25,Mid-Market
ACC0073,Lane-Kim,Financial Services,51-200,North America,2024-12-29,Mid-Market
ACC0074,Fernandez-Thomas,Retail & E-commerce,51-200,APAC,2024-06-08,Enterprise
ACC0075,"Rose, Murray and Mitchell",Retail & E-commerce,2000+,North America,2025-07-03,Mid-Market
ACC0076,Berry PLC,Manufacturing,501-2000,North America,2025-05-10,SMB
ACC0077,"Taylor, Fowler and Raymond",Public Sector,51-200,North America,2025-07-17,Enterprise
ACC0078,"Sanchez, Byrd and Campbell",Financial Services,501-2000,EMEA,2025-01-23,SMB
ACC0079,Reed PLC,Financial Services,201-500,North America,2025-07-28,Enterprise
ACC0080,Lester Ltd,Healthcare,501-2000,North America,2024-05-28,Enterprise
ACC0081,"Williams, Ryan and Nichols",Media & Entertainment,2000+,North America,2024-07-15,Mid-Market
ACC0082,Murphy-Shaw,Manufacturing,51-200,APAC,2025-06-02,SMB
ACC0083,"Martinez, Meyer and Lynn",Manufacturing,201-500,North America,2025-09-30,Mid-Market
ACC0084,Hall Ltd,Manufacturing,2000+,LATAM,2024-07-23,SMB
ACC0085,"Thomas, Fitzgerald and Powell",Retail & E-commerce,51-200,North America,2025-09-11,Mid-Market
ACC0086,Young Ltd,Healthcare,201-500,EMEA,2025-01-17,SMB
ACC0087,"King, Trujillo and Moore",Retail & E-commerce,2000+,North America,2025-10-23,SMB
ACC0088,"Garrett, May and Willis",Manufacturing,201-500,North America,2026-01-09,SMB
ACC0089,"Shepherd, Carroll and Carter",Manufacturing,51-200,EMEA,2025-09-23,Enterprise
ACC0090,Lee Inc,Public Sector,201-500,North America,2026-01-30,Mid-Market
ACC0091,Phillips-Black,Healthcare,501-2000,APAC,2025-03-17,Mid-Market
ACC0092,Ruiz PLC,Healthcare,1-50,North America,2025-12-26,SMB
ACC0093,Burke-Acevedo,Retail & E-commerce,201-500,North America,2024-12-25,Enterprise
ACC0094,"Martinez, Myers and Taylor",Retail & E-commerce,201-500,North America,2024-12-25,SMB
ACC0095,"Ramos, Ryan and Lopez",Healthcare,2000+,LATAM,2025-01-16,SMB
ACC0096,Mendez-Saunders,Healthcare,501-2000,EMEA,2024-09-30,Mid-Market
ACC0097,Valdez LLC,Retail & E-commerce,201-500,North America,2025-08-04,SMB
ACC0098,Cook PLC,Manufacturing,201-500,North America,2025-08-13,Mid-Market
ACC0099,"Robinson, Hoffman and Gonzalez",Financial Services,51-200,North America,2025-05-22,SMB
ACC0100,"Garcia, Shelton and Walker",Technology,51-200,North America,2025-11-09,SMB
ACC0101,"Berry, Williams and Curtis",Financial Services,201-500,North America,2025-02-13,Enterprise
ACC0102,Patterson LLC,Financial Services,501-2000,APAC,2026-03-25,SMB
ACC0103,Perez and Sons,Financial Services,1-50,EMEA,2025-04-19,Mid-Market
ACC0104,Lee-Oliver,Media & Entertainment,501-2000,North America,2024-10-10,SMB
ACC0105,Green Ltd,Healthcare,51-200,North America,2025-09-02,Mid-Market
ACC0106,Davies Group,Financial Services,201-500,North America,2025-02-24,SMB
ACC0107,Fischer PLC,Media & Entertainment,2000+,APAC,2024-10-15,Enterprise
ACC0108,"Wood, Newman and Thompson",Healthcare,1-50,North America,2024-06-25,Mid-Market
ACC0109,"Alexander, Bowen and Bennett",Technology,51-200,APAC,2025-05-14,Mid-Market
ACC0110,Hammond-Wells,Manufacturing,51-200,North America,2025-02-07,Mid-Market
ACC0111,"Ford, Jacobson and Miller",Technology,201-500,North America,2025-04-21,Mid-Market
ACC0112,Moreno and Sons,Public Sector,1-50,North America,2026-03-14,SMB
ACC0113,Franco Group,Technology,51-200,North America,2025-12-06,Mid-Market
ACC0114,Fields-Scott,Media & Entertainment,201-500,North America,2025-07-26,SMB
ACC0115,"Holloway, Jacobs and Jenkins",Healthcare,501-2000,North America,2025-12-18,SMB
ACC0116,Sanchez and Sons,Financial Services,201-500,North America,2025-05-30,SMB
ACC0117,Baker Group,Financial Services,2000+,APAC,2025-09-23,Enterprise
ACC0118,"Hanson, Mcintyre and Anderson",Healthcare,1-50,EMEA,2025-06-10,SMB
ACC0119,"Daniels, Lane and Jones",Technology,2000+,EMEA,2026-03-03,Mid-Market
ACC0120,"Harrington, Pham and Haney",Financial Services,201-500,North America,2025-04-30,Enterprise
ACC0121,Leonard-Orozco,Financial Services,51-200,North America,2025-04-09,SMB
ACC0122,"Hebert, Poole and Gilbert",Manufacturing,51-200,APAC,2024-10-27,SMB
ACC0123,"Andrade, Rivas and Smith",Retail & E-commerce,201-500,North America,2024-12-05,Mid-Market
ACC0124,"Beltran, Saunders and Ayala",Healthcare,51-200,APAC,2025-08-06,SMB
ACC0125,Miller Group,Media & Entertainment,51-200,North America,2024-12-25,SMB
ACC0126,"Smith, Bartlett and Carrillo",Financial Services,201-500,EMEA,2025-05-17,Enterprise
ACC0127,Abbott-Taylor,Retail & E-commerce,51-200,North America,2024-08-12,SMB
ACC0128,Maddox-Adams,Technology,2000+,North America,2026-01-17,Mid-Market
ACC0129,"Marks, Shepard and Edwards",Healthcare,51-200,North America,2024-12-13,SMB
ACC0130,Edwards and Sons,Retail & E-commerce,1-50,North America,2025-08-31,Mid-Market
ACC0131,Adams-Williams,Manufacturing,51-200,North America,2024-09-25,Mid-Market
ACC0132,"Williams, Smith and Park",Manufacturing,51-200,North America,2025-01-05,Mid-Market
ACC0133,"Miller, Landry and Carter",Technology,51-200,North America,2025-12-13,SMB
ACC0134,"Thompson, Owens and Coleman",Manufacturing,51-200,LATAM,2024-12-05,Mid-Market
ACC0135,Perez Ltd,Manufacturing,201-500,EMEA,2026-01-02,SMB
ACC0136,Wilson PLC,Financial Services,51-200,North America,2024-10-15,Enterprise
ACC0137,"Miller, Perez and Hanna",Technology,51-200,North America,2025-12-06,SMB
ACC0138,"Bowman, Mejia and Olson",Technology,1-50,EMEA,2025-06-27,Mid-Market
ACC0139,Whitaker-Jones,Technology,1-50,North America,2024-12-11,Enterprise
ACC0140,Franklin PLC,Financial Services,201-500,North America,2026-02-19,Enterprise
ACC0141,"Jones, Conley and Hall",Media & Entertainment,1-50,APAC,2025-08-03,Enterprise
ACC0142,Hunter Group,Healthcare,501-2000,EMEA,2025-08-26,SMB
ACC0143,Ray Group,Media & Entertainment,51-200,North America,2024-08-20,SMB
ACC0144,Gibson-Riley,Healthcare,201-500,North America,2026-01-03,SMB
ACC0145,Whitaker-Mccarthy,Technology,201-500,North America,2025-11-05,Mid-Market
ACC0146,"Matthews, Smith and Hayes",Technology,51-200,EMEA,2024-08-14,Mid-Market
ACC0147,Callahan-Hodges,Financial Services,51-200,North America,2025-01-05,Enterprise
ACC0148,Yu-Walton,Technology,501-2000,North America,2024-08-19,SMB
ACC0149,Thomas Inc,Financial Services,201-500,LATAM,2024-06-20,Enterprise
ACC0150,Johnson and Sons,Technology,1-50,North America,2025-06-04,SMB
ACC0151,Miles Inc,Media & Entertainment,51-200,APAC,2024-12-21,SMB
ACC0152,Schmitt Group,Media & Entertainment,201-500,EMEA,2024-11-25,Mid-Market
ACC0153,Christian-House,Media & Entertainment,501-2000,EMEA,2024-08-04,Mid-Market
ACC0154,Barber-Miller,Public Sector,501-2000,North America,2024-09-02,SMB
ACC0155,Sellers Group,Manufacturing,501-2000,North America,2024-09-01,Enterprise
ACC0156,Schultz and Sons,Financial Services,201-500,EMEA,2025-07-04,Enterprise
ACC0157,Hopkins-Moran,Healthcare,201-500,EMEA,2026-01-11,Mid-Market
ACC0158,Ross-Burns,Financial Services,1-50,North America,2025-11-01,Mid-Market
ACC0159,"Campbell, Meadows and Cervantes",Financial Services,2000+,EMEA,2024-09-28,Enterprise
ACC0160,"Martin, Atkins and Wilson",Technology,1-50,North America,2025-02-25,SMB
ACC0161,Burch-Wright,Technology,501-2000,APAC,2024-12-27,Mid-Market
ACC0162,Thompson-Thomas,Financial Services,501-2000,North America,2024-07-13,Mid-Market
ACC0163,"Goodman, Mueller and Wilson",Technology,1-50,North America,2025-06-24,Mid-Market
ACC0164,Diaz-Hernandez,Technology,2000+,EMEA,2024-07-30,SMB
ACC0165,Wright-Munoz,Financial Services,1-50,EMEA,2025-02-21,Enterprise
ACC0166,Bates-Smith,Media & Entertainment,201-500,LATAM,2025-12-15,SMB
ACC0167,Cook-Winters,Media & Entertainment,51-200,North America,2025-07-09,Mid-Market
ACC0168,Russell-Abbott,Financial Services,201-500,North America,2025-11-17,Mid-Market
ACC0169,"Freeman, Rosario and Lopez",Healthcare,501-2000,LATAM,2026-02-02,Mid-Market
ACC0170,Brown-Williamson,Financial Services,2000+,APAC,2024-11-11,Mid-Market
ACC0171,Smith Inc,Manufacturing,501-2000,North America,2024-08-29,SMB
ACC0172,Kelly-Bentley,Technology,201-500,North America,2025-04-26,Mid-Market
ACC0173,Perez Inc,Financial Services,2000+,EMEA,2025-10-03,SMB
ACC0174,Ho Ltd,Financial Services,501-2000,North America,2025-02-18,Enterprise
ACC0175,Coffey PLC,Manufacturing,501-2000,EMEA,2025-03-15,SMB
ACC0176,"Powell, Bowers and Hubbard",Healthcare,51-200,APAC,2026-03-08,Enterprise
ACC0177,Bell-Mayo,Financial Services,1-50,LATAM,2025-01-19,Enterprise
ACC0178,Watson and Sons,Technology,1-50,APAC,2024-06-13,SMB
ACC0179,Summers-Smith,Retail & E-commerce,51-200,North America,2024-07-15,SMB
ACC0180,"Grant, Tucker and Moon",Retail & E-commerce,501-2000,EMEA,2024-10-15,Mid-Market
ACC0181,Williams-Dillon,Manufacturing,501-2000,North America,2024-10-07,Enterprise
ACC0182,Hoffman and Sons,Healthcare,2000+,North America,2025-08-25,SMB
ACC0183,"James, Ferguson and Mcpherson",Technology,201-500,North America,2026-01-02,Mid-Market
ACC0184,Allen and Sons,Media & Entertainment,1-50,EMEA,2026-02-16,Mid-Market
ACC0185,Chavez Group,Technology,201-500,North America,2024-09-12,SMB
ACC0186,"Thompson, Graves and Keith",Technology,201-500,North America,2025-03-19,SMB
ACC0187,Tucker-Macias,Media & Entertainment,1-50,North America,2024-12-28,SMB
ACC0188,"Anderson, Macias and Joseph",Manufacturing,501-2000,North America,2024-12-24,SMB
ACC0189,Riddle-Fisher,Technology,51-200,EMEA,2025-04-26,SMB
ACC0190,Moyer Group,Public Sector,201-500,North America,2025-01-02,SMB
ACC0191,Clark Ltd,Financial Services,201-500,North America,2025-08-15,Mid-Market
ACC0192,Parrish PLC,Financial Services,201-500,North America,2026-03-23,SMB
ACC0193,Sims PLC,Technology,201-500,EMEA,2026-02-23,SMB
ACC0194,Norris Inc,Retail & E-commerce,2000+,EMEA,2025-08-22,SMB
ACC0195,Price Inc,Healthcare,201-500,North America,2024-05-20,SMB
ACC0196,Roberts PLC,Manufacturing,1-50,EMEA,2026-01-05,SMB
ACC0197,Hill-Brown,Financial Services,51-200,EMEA,2024-08-29,Mid-Market
ACC0198,Day-Carter,Media & Entertainment,51-200,North America,2025-02-13,Enterprise
ACC0199,Neal-Warner,Healthcare,2000+,North America,2024-10-18,Mid-Market
ACC0200,"Rice, Lee and Walker",Technology,2000+,North America,2024-12-07,SMB
ACC0201,"Byrd, Ross and Tucker",Retail & E-commerce,501-2000,North America,2024-12-21,SMB
ACC0202,Pratt-Flores,Public Sector,501-2000,North America,2024-05-24,SMB
ACC0203,Johnson LLC,Retail & E-commerce,51-200,LATAM,2025-03-06,Enterprise
ACC0204,"Ramirez, Duarte and Ward",Financial Services,201-500,North America,2024-05-26,Mid-Market
ACC0205,Huynh LLC,Healthcare,51-200,North America,2024-05-23,Mid-Market
ACC0206,"Rodriguez, Bennett and Sims",Media & Entertainment,201-500,North America,2024-07-29,Mid-Market
ACC0207,Johnson-White,Retail & E-commerce,2000+,North America,2025-06-09,SMB
ACC0208,"Wagner, Patel and Sherman",Technology,1-50,North America,2024-11-26,Enterprise
ACC0209,Stewart-Holt,Healthcare,51-200,North America,2025-03-31,SMB
ACC0210,Lopez Inc,Media & Entertainment,51-200,EMEA,2025-11-07,SMB
ACC0211,"Ward, Brandt and Carpenter",Retail & E-commerce,201-500,EMEA,2025-07-02,Enterprise
ACC0212,Meadows-Roberts,Financial Services,2000+,North America,2025-04-08,Enterprise
ACC0213,Le-Vargas,Healthcare,2000+,EMEA,2025-04-12,Enterprise
ACC0214,Brewer Ltd,Public Sector,2000+,North America,2025-01-04,Enterprise
ACC0215,Acosta Ltd,Healthcare,2000+,North America,2026-02-22,SMB
ACC0216,"Williams, Ferguson and Miller",Technology,201-500,North America,2026-02-03,SMB
ACC0217,"Booth, Gallagher and Fernandez",Healthcare,501-2000,EMEA,2025-08-19,Mid-Market
ACC0218,"Martinez, Hill and Lewis",Media & Entertainment,1-50,North America,2025-11-17,SMB
ACC0219,Gamble-Foster,Retail & E-commerce,1-50,North America,2026-03-19,Enterprise
ACC0220,Stevenson Group,Retail & E-commerce,201-500,North America,2026-03-29,Enterprise
ACC0221,Potter-Garcia,Manufacturing,201-500,North America,2026-02-08,Mid-Market
ACC0222,Rowe-Johnson,Healthcare,1-50,APAC,2024-11-15,Mid-Market
ACC0223,"Garcia, Fuentes and Garcia",Manufacturing,2000+,EMEA,2024-06-09,Mid-Market
ACC0224,Turner-Pena,Public Sector,1-50,North America,2024-12-10,SMB
ACC0225,"Martinez, Benson and Hanson",Technology,501-2000,North America,2025-01-15,Enterprise
ACC0226,"Miranda, Jones and Hawkins",Healthcare,1-50,North America,2025-07-07,SMB
ACC0227,Smith-Campos,Manufacturing,51-200,EMEA,2024-08-11,Mid-Market
ACC0228,Griffin-Ruiz,Healthcare,1-50,North America,2025-12-18,SMB
ACC0229,Rose Group,Manufacturing,501-2000,EMEA,2025-09-06,Mid-Market
ACC0230,"Hawkins, Tran and Bird",Financial Services,501-2000,APAC,2025-03-02,Mid-Market
ACC0231,Moss PLC,Financial Services,201-500,North America,2025-03-27,SMB
ACC0232,Hernandez-Friedman,Financial Services,1-50,EMEA,2026-01-17,Enterprise
ACC0233,Calderon-Davis,Manufacturing,501-2000,North America,2024-09-22,Enterprise
ACC0234,Murphy-Hall,Healthcare,201-500,LATAM,2025-02-18,Mid-Market
ACC0235,"Gray, Hansen and Miller",Manufacturing,501-2000,EMEA,2026-02-21,SMB
ACC0236,Saunders-Jacobs,Financial Services,201-500,EMEA,2025-09-09,Enterprise
ACC0237,Miller LLC,Retail & E-commerce,51-200,North America,2024-09-22,Mid-Market
ACC0238,Wilson Inc,Healthcare,501-2000,EMEA,2024-09-17,SMB
ACC0239,"Foley, Morales and Bell",Healthcare,201-500,APAC,2026-03-19,SMB
ACC0240,Hensley-Pace,Manufacturing,1-50,EMEA,2025-07-09,SMB
ACC0241,Payne-George,Financial Services,1-50,North America,2025-11-19,SMB
ACC0242,Jones Inc,Technology,201-500,North America,2026-03-14,Enterprise
ACC0243,Hines LLC,Financial Services,201-500,North America,2025-11-04,Mid-Market
ACC0244,Alexander PLC,Manufacturing,201-500,EMEA,2026-01-18,SMB
ACC0245,Williams LLC,Manufacturing,1-50,North America,2026-01-21,Mid-Market
ACC0246,Huerta-Haynes,Financial Services,51-200,EMEA,2025-07-09,Mid-Market
ACC0247,"Lin, Hayes and Haynes",Financial Services,1-50,North America,2024-05-20,SMB
ACC0248,Blake-Welch,Manufacturing,1-50,North America,2025-03-06,SMB
ACC0249,"George, Aguirre and Myers",Technology,2000+,North America,2025-11-25,SMB
ACC0250,"Murillo, Cowan and Hendrix",Technology,201-500,North America,2025-01-29,Enterprise
ACC0251,Bauer LLC,Manufacturing,201-500,North America,2024-05-30,SMB
ACC0252,"Ortiz, Richardson and Garcia",Retail & E-commerce,1-50,North America,2026-03-26,Mid-Market
ACC0253,Tapia-Baker,Financial Services,51-200,North America,2025-02-24,SMB
ACC0254,Price Inc,Technology,1-50,North America,2025-05-17,Enterprise
ACC0255,Gutierrez PLC,Financial Services,201-500,LATAM,2025-04-09,Enterprise
ACC0256,"Burke, Maldonado and Berg",Technology,201-500,APAC,2024-10-25,Enterprise
ACC0257,Cochran-Walters,Manufacturing,51-200,APAC,2025-10-24,Enterprise
ACC0258,Bell-Leblanc,Healthcare,51-200,EMEA,2025-04-22,Mid-Market
ACC0259,Gonzalez Inc,Healthcare,1-50,LATAM,2025-12-30,Enterprise
ACC0260,"Hughes, Baker and Ramos",Healthcare,501-2000,North America,2024-06-12,Enterprise
ACC0261,Perry-Reed,Healthcare,201-500,LATAM,2024-09-14,SMB
ACC0262,Sanders Inc,Media & Entertainment,201-500,North America,2024-07-03,SMB
ACC0263,Mora-Bailey,Public Sector,51-200,North America,2025-01-19,Enterprise
ACC0264,Mcbride-Robertson,Financial Services,51-200,North America,2026-02-16,Mid-Market
ACC0265,Robinson Inc,Financial Services,1-50,North America,2025-04-02,SMB
ACC0266,Lewis-Roberts,Retail & E-commerce,501-2000,North America,2024-07-24,SMB
ACC0267,Wright-Reid,Healthcare,2000+,North America,2026-03-03,Mid-Market
ACC0268,Kane PLC,Healthcare,51-200,APAC,2024-12-13,Mid-Market
ACC0269,"Valentine, Riley and Fuller",Financial Services,501-2000,LATAM,2025-04-28,SMB
ACC0270,Bridges Ltd,Healthcare,1-50,North America,2025-01-21,SMB
ACC0271,"Singh, Hoffman and Whitaker",Healthcare,51-200,North America,2025-06-29,Mid-Market
ACC0272,Harris-Harmon,Manufacturing,1-50,APAC,2024-07-07,SMB
ACC0273,"Marshall, Ayala and Smith",Technology,201-500,North America,2025-06-28,Mid-Market
ACC0274,"Price, Wilson and Mccoy",Public Sector,201-500,APAC,2025-11-12,Mid-Market
ACC0275,Good-Valentine,Technology,51-200,EMEA,2024-06-12,SMB
ACC0276,Thornton PLC,Healthcare,2000+,North America,2025-06-01,SMB
ACC0277,Russo Group,Financial Services,1-50,EMEA,2024-10-22,Enterprise
ACC0278,"Nichols, Navarro and Mann",Healthcare,1-50,EMEA,2025-06-02,Enterprise
ACC0279,"Roberson, Davidson and Singh",Media & Entertainment,201-500,North America,2025-08-26,SMB
ACC0280,Sanchez Group,Financial Services,501-2000,North America,2024-11-11,SMB
ACC0281,"Moses, Brown and White",Media & Entertainment,1-50,APAC,2025-05-05,SMB
ACC0282,"Ryan, Sanchez and Evans",Healthcare,51-200,EMEA,2025-10-11,SMB
ACC0283,"Roberts, Lindsey and Ryan",Retail & E-commerce,51-200,APAC,2025-01-21,Enterprise
ACC0284,Mahoney PLC,Manufacturing,2000+,North America,2024-07-28,Mid-Market
ACC0285,"Murray, Torres and Morales",Financial Services,201-500,EMEA,2025-06-02,SMB
ACC0286,"Hamilton, Cruz and Brooks",Media & Entertainment,51-200,APAC,2024-05-20,SMB
ACC0287,Lee LLC,Financial Services,51-200,LATAM,2025-03-19,Mid-Market
ACC0288,Salinas Ltd,Technology,51-200,North America,2024-08-03,Enterprise
ACC0289,Wade Ltd,Healthcare,501-2000,North America,2024-09-24,SMB
ACC0290,Bartlett-Carter,Healthcare,1-50,EMEA,2026-01-19,SMB
ACC0291,Lopez-Matthews,Media & Entertainment,1-50,North America,2025-01-22,Enterprise
ACC0292,Lindsey-Davis,Retail & E-commerce,501-2000,APAC,2026-03-18,Mid-Market
ACC0293,Maddox PLC,Financial Services,51-200,North America,2026-01-21,Mid-Market
ACC0294,Parker-Martinez,Media & Entertainment,501-2000,North America,2024-06-18,Mid-Market
ACC0295,"Griffin, Frazier and Bishop",Technology,2000+,North America,2024-12-17,SMB
ACC0296,Davis Ltd,Manufacturing,51-200,North America,2026-04-09,SMB
ACC0297,Alvarado-English,Technology,1-50,North America,2024-07-30,Mid-Market
ACC0298,Brock Group,Financial Services,51-200,North America,2026-02-25,Mid-Market
ACC0299,"Porter, Williams and Thomas",Healthcare,1-50,EMEA,2024-11-19,SMB
ACC0300,"Gonzalez, Fowler and Wells",Healthcare,51-200,North America,2025-11-18,Mid-Market
